05-12-2018 04:20:26 - ===============================Started Adding License Comments, Project - C:\GitHubRepository\Ginger\Ginger===============================
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Actions\ActMultiselectList.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Actions\ActOutDataSourceConfig.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Actions\ActPassword.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Actions\ActPBControl.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Actions\ActPWL.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Actions\ActRadiobutton.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Actions\ActReadTextFile.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Actions\ActScreenShot.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Actions\ActScript.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Actions\ActSendKeys.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Actions\ActSetConfig.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Actions\ActSetVariableValue.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Actions\ActSmartSync.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Actions\ActSubmit.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Actions\ActSwitchWindow.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Actions\ActTableElement.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Actions\ActTextBox.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Actions\ActTextSpeech.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Actions\ActValidation.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Actions\ActWebService.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Actions\ActWebSitePerformanceTiming.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Actions\ActWindow.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Actions\ActWithoutDriver.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Activities\ActivitiesGroup.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Activities\Activity.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Activities\ActivityIdentifiers.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Activities\ErrorHandler.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\ALM\ALMConfig.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\ALM\ALMCore.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\ALM\PublishToALMConfig.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\ALM\QCCore.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\ALM\QCRestAPICore.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\ALM\RallyCore.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\ALM\RQMCore.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Animations\Animations.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Common\Utility.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\DataSource\AccessDataSource.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\DataSource\ActDSConditon.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\DataSource\ActDSTableElement.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\DataSource\DataSourceBase.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\DataSource\DataSourceTable.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\DataSource\DataSourceTableColumn.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\DragDrop\VisualDrag.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Drivers\AgentAttribute.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Drivers\AppWindow.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Drivers\DriverBase.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Drivers\DriverMessageEventArgs.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Drivers\QTPConnector.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Drivers\QTPDriver.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Drivers\SeleniumDriver.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Environments\Database.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Environments\ProjEnvironment.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Extensions\Screenshot.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\External\ExternalItemField.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\External\JsonExternalItemField.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\FlowControlLib\FlowControl.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\GeneralFunctions\RegistryFunctions.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\GeneralLib\ComboBoxWindow.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\GeneralLib\CommonLib.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\GeneralLib\Email.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\GeneralLib\EncryptionHandler.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\GeneralLib\General.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\GeneralLib\GenericWindow.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\GeneralLib\InputBoxWindow.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\GeneralLib\JSONHelper.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\GeneralLib\SMS.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\GeneralLib\StringCompressor.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\GeneralLib\VBS.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Helpers\HTMLHelper.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Helpers\TextBlockHelper.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\NoSqlBase\GingerCassandra.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\NoSqlBase\GingerUDTMap.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\NoSqlBase\MyClassBuilder.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\NoSqlBase\NoSqlBase.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Platforms\Agent.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Platforms\ApplicationAgent.cs
05-12-2018 04:20:27 - Earlier - False, License Added - True, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Platforms\ApplicationPlatform.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Platforms\DriverConfigParam.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Platforms\Platform.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Properties\Annotations.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Reporter\BotDialog.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Reporter\GingerHelperEventArgs.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Reporter\GingerHelperMsgsPool.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Reporter\Reporter.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Reporter\UserMessagesPool.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Repository\RepositoryItem.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\Repository\RepositorySerializer.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\SourceControl\GITSourceControl.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\SourceControl\SVNSourceControl.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\UserControls\ucTextDicResource.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\UserControls\XMLViewer.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\XPathParser\IXpathBuilder.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\XPathParser\XPathAxis.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\XPathParser\XPathOperator.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\XPathParser\XPathParser.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\XPathParser\XPathParserException.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\XPathParser\XPathScanner.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\XPathParser\XPathStringBuilder.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\XPathParser\XPathTreeBuilder.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Actions\ActInputValue.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Actions\ActionInputValueInfo.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Actions\ActionLogConfig.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Actions\ActReturnValue.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Actions\DynamicListWrapper.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Actions\EnhancedActInputValue.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Actions\StandAloneAction.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Dictionaries\GingerDicser.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Dictionaries\GingerTerminology.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\EnumsLib\eDirty.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\EnumsLib\eImageType.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\EnvironmentLib\EnvApplication.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\EnvironmentLib\LoginUser.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\EnvironmentLib\UnixServer.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Functionalities\FindAndReplaceUtils.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Functionalities\FoundItem.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Functionalities\ItemToSearchIn.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Functionalities\SearchConfig.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\GeneralLib\BetaFeature.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\GeneralLib\BetaFeatures.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\GeneralLib\DeleteFolderContentBySizeLimit.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\GeneralLib\EnumValueDescriptionAttribute.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\GeneralLib\EnumValueExtDescriptionAttribute.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\GeneralLib\General.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\GeneralLib\HttpUtilities.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\GeneralLib\io.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\GeneralLib\IObservableList.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\GeneralLib\ObservableList.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\GeneralLib\XMLDocExtended.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\InterfacesLib\IActivity.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\InterfacesLib\IBusinessFlow.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\InterfacesLib\IDatabase.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\InterfacesLib\IProjEnvironment.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\InterfacesLib\IRepositoryItemFactory.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\InterfacesLib\IValueExpression.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\IOLib\PathHelper.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\ReporterLib\AppReporter.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\ReporterLib\AppReporterEnums.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\ReporterLib\AppReportEventArgs.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Repository\BackupRestoreAttributes.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Repository\FileSystem.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Repository\GingerVersion.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Repository\IRepositorySerializer.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Repository\ISearchFilter.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Repository\ISolution.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Repository\ISourceControl.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Repository\NewRepositorySerializer.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Repository\OptionalValue.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Repository\RepositoryCache.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Repository\RepositoryFile.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Repository\RepositoryFolder.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Repository\RepositoryFolderBase.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Repository\RepositoryItemAttributes.cs
05-12-2018 04:20:28 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Repository\RepositoryItemBase.cs
05-12-2018 04:20:28 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Repository\RepositoryItemHeader.cs
05-12-2018 04:20:28 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Repository\RepositoryItemHelper.cs
05-12-2018 04:20:28 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Repository\RepositoryItemKey.cs
05-12-2018 04:20:28 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Repository\RepositoryItemTag.cs
05-12-2018 04:20:28 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Repository\SolutionRepository.cs
05-12-2018 04:20:28 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Repository\SolutionRepositoryItemInfo.cs
05-12-2018 04:20:28 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\Repository\SolutionRepositoryItemInfoBase.cs
05-12-2018 04:20:28 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\UIElement\AppWindow.cs
05-12-2018 04:20:28 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\UIElement\ControlProperty.cs
05-12-2018 04:20:28 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\UIElement\ElementInfo.cs
05-12-2018 04:20:28 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\UIElement\ElementLocator.cs
05-12-2018 04:20:28 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\UIElement\IWindowExplorer.cs
05-12-2018 04:20:28 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\UIElement\UIElementFilter.cs
05-12-2018 04:20:28 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\VariablesLib\DecimalRandom.cs
05-12-2018 04:20:28 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\VariablesLib\VariableBase.cs
05-12-2018 04:20:28 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\VariablesLib\VariableDependency.cs
05-12-2018 04:20:28 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\VariablesLib\VariableDynamic.cs
05-12-2018 04:20:28 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\VariablesLib\VariableList.cs
05-12-2018 04:20:28 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\VariablesLib\VariablePasswordString.cs
05-12-2018 04:20:28 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\VariablesLib\VariableRandomNumber.cs
05-12-2018 04:20:28 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\VariablesLib\VariableRandomString.cs
05-12-2018 04:20:28 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\VariablesLib\VariableSelectionList.cs
05-12-2018 04:20:28 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\VariablesLib\VariableSequence.cs
05-12-2018 04:20:28 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\VariablesLib\VariableString.cs
05-12-2018 04:20:28 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommon\VariablesLib\VariableTimer.cs
05-12-2018 04:20:28 - Earlier - False, License Added - True, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommonTest\Repository\SolutionRepositoryLongPathTest.cs
05-12-2018 04:20:28 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommonTest\Repository\SolutionRepositoryTest.cs
05-12-2018 04:20:28 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommonTest\TerminologyTests\GingerTerminologyUnitTests.cs
05-12-2018 04:20:28 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommonTest\VariableTests\DynamicVariableTest.cs
